MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Computational Fluid Dynamic Study of Spiral Casings Applied to the Generation of Hydraulic Energy at Microscale,Japón,Technology Reports of Kansai University,0453-2198,2020,62,02,115 - 122, ,"JONATHAN ANDRES GRACIANO URIBE, DIEGO ANDRES HINCAPIE ZULUAGA, EDWAR ANDRES TORRES LOPEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Failure analysis of fillet welds with premature corrosion in 316L stainless steel slide gates using constitution diagrams,Colombia,Uis Ingenierías,2145-8456,2020,19,N/A,141 - 148,10.18273/revuin.v19n2-2020016 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Nanofluids stability effect on a thermosyphon thermal performance,Francia,International Journal of Thermal Sciences,1290-0729,2020,153,N/A,1 - 11,10.1016/j.ijthermalsci.2020.106347 ,"KAREN PAOLA CACUA MADERO, ROBISON BUITRAGO SIERRA, ELIZABETH PABON GELVES, ANDERSON GALLEGO MONTOYA, JUAN CAMILO ZAPATA HERNANDEZ, BERNARDO ARGEMIRO HERRERA MUNERA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,A Solution of Implicit Model of Series-Parallel Photovoltaic Arrays by Using Deterministic and Metaheuristic Global Optimization Algorithms,,Energies,1996-1073,2020,13,4,- ,10.3390/en13040801 ,LUZ ADRIANA TREJOS GRISALES
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Obtaining the cad flow models in the francis turbine of the sancancio hydroelectric power plant by means of reverse engineering,Malasia,International Journal of Integrated Engineering,2229-838X,2020,12,págs:,172 - 187,10.30880/ijie.2020.12.01.017 ,"JORGE ANDRES SIERRA DEL RIO, EDWIN ANDRES CORREA QUINTANA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Experimental evaluation of the effect in the stability and thermophysical properties of water-Al2O3 based nanofluids using SDBS as dispersant agent,Países Bajos,Advanced Powder Technology,0921-8831,2020,31,N/A,560 - 570,10.1016/j.apt.2019.11.012 ,"ANDERSON GALLEGO MONTOYA, KAREN PAOLA CACUA MADERO, BERNARDO ARGEMIRO HERRERA MUNERA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Energy Management in PV Based Microgrids Designed for the Universidad Nacional de Colombia,Suiza,Sustainability,2071-1050,2020,12,N/A,1 - 24,10.3390/su12031219 ,"CARLOS ANDRES RAMOS PAJA, LUIS FERNANDO GRISALES NORENA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimal Location and Sizing of PV Sources in DC Networks for Minimizing Greenhouse Emissions in Diesel Generators,Suiza,Symmetry,2073-8994,2020,12,2,1 - 14,10.3390/sym12020322 ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Relaxed convex model for optimal location and sizing of DGs in DC grids using sequential quadratic programming and random hyperplane approaches,Países Bajos,International Journal Of Electrical Power '&' Energy Systems,0142-0615,2020,115,NA,10 - 1,10.1016/j.ijepes.2019.105442 ,"OSCAR DANILO MONTOYA GIRALDO, LUIS FERNANDO GRISALES NORENA, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Effect of Spray Parameters in a Spray Flame Reactor During Fe x O y Nanoparticles Synthesis,Países Bajos,Journal of Thermal Spray Technology,1059-9630,2020,29,N/A,368 - 383,10.1007/s11666-020-00991-1 ,ROBISON BUITRAGO SIERRA
