CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Differences between e-commerce buyers and non-buyers in Colombia: The moderating effect of educational level and socioeconomic status on electronic purchase intention,Colombia,DYNA,0012-7353,2017,84,202,175 - 189,10.15446/dyna.v84n202.65496 ,JAVIER ALIRIO SANCHEZ TORRES
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Una alternativa para disminuir el costo de las rentas vitalicias en mercados no eficientes,Venezuela,Espacios,0798-1015,2017,38,41,15 - 15, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Sobre la irrelevancia del supuesto de vida infinita en la asignación de recursos entre consumo e inversión,Venezuela,Espacios,0798-1015,2017,38,41,16 - 16, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Sobre la irrelevancia del supuesto de vida infinita en la asignación de recursos entre consumo e inversión,Venezuela,Espacios,0798-1015,2017,38,41,16 - 16, ,"LUIS CEFERINO FRANCO ARBELAEZ, GABRIEL ALBERTO AGUDELO TORRES, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Procesos de Itô económicamente ponderados para la medición del impacto potencial del Brexit sobre los tipos de cambio,Venezuela,Espacios,0798-1015,2017,38,31,4 - 4, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS, NORA GAVIRA DURON"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valor en Riesgo: Un análisis del modelo de cópulas elípticas para el sector de vivienda en México,Venezuela,Espacios,0798-1015,2017,38,31,27 - 27, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Procesos de Itô económicamente ponderados para la medición del impacto potencial del Brexit sobre los tipos de cambio,Venezuela,Espacios,0798-1015,2017,38,31,4 - 4, ,"LUIS CEFERINO FRANCO ARBELAEZ, GABRIEL ALBERTO AGUDELO TORRES, LUIS EDUARDO FRANCO CEBALLOS, NORA GAVIRA DURON"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valor en Riesgo: Un análisis del modelo de cópulas elípticas para el sector de vivienda en México,Venezuela,Espacios,0798-1015,2017,38,31,27 - 27, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Coberturas con futuros y opciones para disminuir el riesgo cambiario en empresa exportadora en Colombia,Venezuela,Espacios,0798-1015,2017,38,págs:,4 - 24, ,LUIS MIGUEL JIMENEZ GOMEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Coberturas con futuros y opciones para disminuir el riesgo cambiario en empresa exportadora en Colombia,Venezuela,Espacios,0798-1015,2017,38,págs:,4 - 24, ,"NATALIA MARIA ACEVEDO PRINS, LUIS MIGUEL JIMENEZ GOMEZ, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Metodología para la estimación del drift de la tasa de cambio (USD/COP) a través de modelos bayesianos,Colombia,Revista En Contexto,2346-3279,2017,5,7,155 - 171, ,JUAN FERNANDO RENDON GARCIA
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Diversificación internacional de portafolios con ETF para el mercado de renta variable en Colombia,Venezuela,Espacios,0798-1015,2017,38,págs:,18 - 32, ,"NATALIA MARIA ACEVEDO PRINS, LUIS MIGUEL JIMENEZ GOMEZ, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Revisión de investigaciones empíricas sobre la aplicación del análisis técnico en los mercados financieros,Venezuela,Revista En Contexto,2346-3279,2017,38,págs:,73 - 85, ,LUIS MIGUEL JIMENEZ GOMEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Diversificación internacional de portafolios con ETF para el mercado de renta variable en Colombia,Venezuela,Espacios,0798-1015,2017,38,págs:,18 - 32, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Factores implicados en la adopción de software libre en las Pyme de Medellín,Colombia,Revista CEA,2422-3182,2017,3,N/A,55 - 75,10.22430/24223182.673 ,ALEJANDRO VALENCIA ARIAS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valor en Riesgo: Un análisis del modelo de cópulas elípticas para el sector de vivienda en México,Venezuela,Espacios,0798-1015,2017,38,31,27 - 27, ,"LUIS CEFERINO FRANCO ARBELAEZ, GABRIEL ALBERTO AGUDELO TORRES, LUIS EDUARDO FRANCO CEBALLOS, HECTOR ALONSO OLIVARES AGUAYO, CHRISTIAN BUCIO PACHECO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Spin-off activities at higher educational institutions: performance implications from a modeling perspective,Estados Unidos,Journal of Developmental Entrepreneurship,1084-9467,2017,22,N/A,1 - 21,10.1142/S1084946717500133 ,"DIANA LORENA CADAVID HIGUITA, LUISA FERNANDA DIEZ ECHAVARRIA, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Arquitectura de software para la medición del riesgo operacional en entidades del sector financiero,España,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND SOFTWARE ENGINEERING FOR BIG COMPANIES,2387-0184,2017,4,1,21 - 31, ,"LUIS CEFERINO FRANCO ARBELAEZ, JUAN GUILLERMO MURILLO GOMEZ, MARIA ANDREA ARIAS SERNA, JAIME ALBERTO ECHEVERRI ARIAS, FRANCISCO J CARO LOPERA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Agent-based Model for the Analysis of Technological Acceptance of Mobile Learning,Estados Unidos,IEEE Latin America Transactions,1548-0992,2017,15,6,1121 - 1127,10.1109/TLA.2017.7932700 ,"LUISA FERNANDA DIEZ ECHAVARRIA, ALEJANDRO VALENCIA ARIAS, JONATHAN BERMUDEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Spin-off activities at higher educational institutions: performance implications from a modeling perspective,Estados Unidos,Journal of Developmental Entrepreneurship,1084-9467,2017,22,N/A,1 - 21,10.1142/S1084946717500133 ,"LORENA CADAVID, LUISA FERNANDA DIEZ ECHAVARRIA, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Information and Communication Technologies Influence on Family Relationship,Canadá,Global journal of health science,1916-9744,2017,9,N/A,204 - 213,10.5539/gjhs.v9n6p204 ,"ALEJANDRO VALENCIA ARIAS, LEMY BRAN PIEDRAHITA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Revisión de investigaciones empíricas sobre la aplicación del análisis técnico en los mercados financieros,Colombia,Revista En Contexto,2346-3279,2017,5,7,73 - 85, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS MIGUEL JIMENEZ GOMEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Revisión de investigaciones empíricas sobre la aplicación del análisis técnico en los mercados financieros,Colombia,Revista En Contexto,2346-3279,2017,5,7,73 - 85, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS EDUARDO FRANCO CEBALLOS, LUIS MIGUEL JIMENEZ GOMEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Percepciones acerca de la motivación docente en personal directivo de instituciones de educación secundaria en la zona metropolitana de Medellín,,"2015  Costa Rica, Revista Electronica Educare",1409-4258,2017,21,2,- ,dx.doi.org/10.15359/ree.21-2.5 ,"JORGE ARIEL FRANCO LOPEZ, FABIAN MAURICIO VELEZ SALAZAR, HERNAN LOPEZ ARELLANO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Percepciones acerca de la motivación docente en personal directivo de instituciones de educación secundaria en la zona metropolitana de Medellín,,"2015  Costa Rica, Revista Electronica Educare",1409-4258,2017,21,2,1 - 23,10.15359/ree.21-2.5 ,"FABIAN MAURICIO VELEZ SALAZAR, HERNAN LOPEZ ARELLANO, JORGE ARIEL FRANCO LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Tiempo necesario para rentar una vivienda: Una aplicación de Regresión Logística Geográficamente Ponderada,Venezuela,Espacios,0798-1015,2017,38,18,23 - 23, ,"LUIS CEFERINO FRANCO ARBELAEZ, GABRIEL ALBERTO AGUDELO TORRES, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Relación de causalidad de variables macroeconómicas locales y globales sobre el índice COLCAP,,Espacios,0798-1015,2017,38,21,38 - , ,NATALIA MARIA ACEVEDO PRINS
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Agent-based Model for the Analysis of Technological Acceptance of Mobile Learning,Estados Unidos,IEEE Latin America Transactions,1548-0992,2017,15,6,1121 - 1127,10.1109/TLA.2017.7932700 ,JONATHAN BERMUDEZ HERNANDEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Research Trends in the Study of ICT Based Learning Communities: A Bibliometric Analysis,Turquía,"Eurasia Journal of Mathematics, Science '&' Technology Education",1305-8223,2017,13,NA,1539 - 1562,10.12973/eurasia.2017.00684a ,JONATHAN BERMUDEZ HERNANDEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Relación de causalidad de variables macroeconómicas locales y globales sobre el índice COLCAP,Venezuela,Espacios,0798-1015,2017,38,N/A,38 - 38, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, NELSON EDUARDO CASTANO GIRALDO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Research Trends in the Study of ICT Based Learning Communities: A Bibliometric Analysis,Turquía,"Eurasia Journal of Mathematics, Science '&' Technology Education",1305-8215,2017,13,N/A,1539 - 1562,10.12973/eurasia.2017.00684a ,"JONATHAN BERMUDEZ HERNANDEZ, SALIM CHALELA NAFFAH, JACKELINE VALENCIA ARIAS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Tiempo necesario para rentar una vivienda: Una aplicación de Regresión Logística Geográficamente Ponderada,Venezuela,Espacios,0798-1015,2017,38,18,23 - 23, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Agent-based Model for the Analysis of Technological Acceptance of Mobile Learning,Estados Unidos,IEEE Latin America Transactions,1548-0992,2017,15,N/A,1121 - 1127,10.1109/TLA.2017.7932700 ,"LUISA FERNANDA DIEZ ECHAVARRIA, ALEJANDRO VALENCIA ARIAS, JONATHAN BERMUDEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Agent-based Model for the Analysis of Technological Acceptance of Mobile Learning,Estados Unidos,IEEE Latin America Transactions,1548-0992,2017,15,N/A,1121 - 1127,10.1109/TLA.2017.7932700 ,"LUISA FERNANDA DIEZ ECHAVARRIA, ALEJANDRO VALENCIA ARIAS, JONATHAN BERMUDEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Tiempo necesario para rentar una vivienda: Una aplicación de Regresión Logística Geográficamente Ponderada.,Venezuela,Espacios,0798-1015,2017,38,18,23 - 23, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Análisis de relevancia para la valoración de la vocación docente a partir de variables extrínsecas e intrínsecas: caso colegios del área metropolitana de Medellín - Colombia,Venezuela,Espacios,0798-1015,2017,38,20,10 - , ,"JORGE ARIEL FRANCO LOPEZ, HERNAN LOPEZ ARELLANO, FABIAN MAURICIO VELEZ SALAZAR, MIGUEL ALBERTO BECERRA BOTERO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Analysis of University Management of Emerging Technologies and Recommendations for Developing Countries,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2017,16,N/A,1 - 10, ,"ELIANA MARIA VILLA ENCISO, EDGAR PICON JACOME, ALEJANDRO VALENCIA ARIAS, CLAUDIA NELCY JIMENEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Analysis of University Management of Emerging Technologies and Recommendations for Developing Countries,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2017,16,N/A,1 - 10, ,"ELIANA MARIA VILLA ENCISO, EDGAR PICON JACOME, ALEJANDRO VALENCIA ARIAS, CLAUDIA NELCY JIMENEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Proposed Model for Measuring Customer Satisfaction with Telecommunications Services,Italia,Mediterranean Journal of Social Sciences,2039-2117,2017,8,N/A,15 - 25,10.5901/mjss.2017.v8n2p15 ,"MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Análisis bibliométrico de publicaciones sobre competitividad nacional en la base de datos Scopus,Venezuela,Espacios,0798-1015,2017,38,N/A,11 - 11, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Análisis bibliométrico de publicaciones sobre competitividad nacional en la base de datos Scopus,Colombia,Espacios,0798-1015,2017,38,8,11 - , ,"NATALIA MARIA ACEVEDO PRINS, LUIS MIGUEL JIMENEZ GOMEZ, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Análisis bibliométrico sobre indicadores de innovación,Venezuela,Espacios,0798-1015,2017,38,N/A,1 - 1, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Análisis bibliométrico sobre indicadores de innovación,,Espacios,0798-1015,2017,38,8,1 - , ,"NATALIA MARIA ACEVEDO PRINS, LUIS MIGUEL JIMENEZ GOMEZ, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Proposed Model for Measuring Customer Satisfaction with Telecommunications Services,Italia,Mediterranean Journal of Social Sciences,2039-2117,2017,8,N/A,15 - 26,10.5901/mjss.2017.v8n2p15 ,"CLAUDIO MARCO CARTAGENA RENDON, ANDRES FELIPE VASQUEZ ALVAREZ, MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Motivational factors and effects associated with physical-sport practice in undergraduate students,Venezuela,Procedia - Social and Behavioral Sciences,1877-0428,2017,237,N/A,811 - 815,10.1016/j.sbspro.2017.02.153 ,"ALEJANDRO SILVA CORTES, ANA MARIA CORREA DIAZ, MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS, LEMY BRAN PIEDRAHITA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Percepción y conocimiento de los docentes universitarios sobre los procesos investigativos universitarios: estudio de caso,Brasil,Educacao e Pesquisa,1517-9702,2017,10,N/A,1 - 20,10.1590/S1517-9702201702150010 ,"MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Corto (Resumen),Motivational factors and effects associated with physical-sport practice in undergraduate students,Reino Unido,Procedia - Social and Behavioral Sciences,1877-0428,2017,237,N/A,811 - 815,10.1016/j.sbspro.2017.02.153 ,"MARTHA LUZ BENJUMEA ARIAS, ALEJANDRO VALENCIA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Percepción y conocimiento de los docentes universitarios sobre los procesos investigativos universitarios: estudio de caso,Brasil,Educacao e Pesquisa,1517-9702,2017,10,N/A,1 - 20,10.1590/S1517-9702201702150010 ,"ALEJANDRO VALENCIA ARIAS, MARTHA LUZ BENJUMEA ARIAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Impact of devaluation on grid parity for residential solar generation in Latin America. IEEE Latin America Transactions,Brasil,IEEE Latin America and the Caribbean Magazine,2157-8354,2017,15,11,1 - 10, ,"DIANA LORENA CADAVID HIGUITA, CARLOS JAIME FRANCO CARDONA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Análisis de relevancia para la valoración de la vocación docente a partir de variables extrínsecas e intrínsecas: Caso colegios del área metropolitana de Medellín - Colombia,Venezuela,Espacios,0798-1015,2017,38,20,10 - 17, ,"FABIAN MAURICIO VELEZ SALAZAR, JORGE ARIEL FRANCO LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Una alternativa para disminuir el costo de las rentas vitalicias en mercados no eficientes,Venezuela,Espacios,0798-1015,2017,38,41,15 - 15, ,"LUIS CEFERINO FRANCO ARBELAEZ, GABRIEL ALBERTO AGUDELO TORRES, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Procesos de Itô económicamente ponderados para la medición del impacto potencial del Brexit sobre los tipos de cambio,Venezuela,Espacios,0798-1015,2017,38,31,4 - 4, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Medición de la innovación en Colombia,Colombia,Revista En Contexto,2346-3279,2017,5,N/A,165 - 183, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Spin-off activities at higher educational institutions: Performance implications from a modeling perspective,Estados Unidos,Journal of Developmental Entrepreneurship,1084-9467,2017,22,2,1 - 20,10.1142/S1084946717500133 ,"DIANA LORENA CADAVID HIGUITA, ALEJANDRO VALENCIA ARIAS, LUISA FERNANDA DIEZ ECHAVARRIA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Measuring organizational capabilities for technological innovation through a fuzzy inference system,Colombia,Technology in Society,0160-791X,2017,50,N/A,93 - 109,https://doi.org/10.1016/j.techsoc.2017.05.005 ,"JAKELINE SERRANO GARCIA, CARLOS ALBERTO ACEVEDO ALVAREZ, JOHNATAN MAURICIO CASTELBLANCO GOMEZ, JUAN JOSE ARBELAEZ TORO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Medición de la Innovación en Colombia,Colombia,Revista En Contexto,2346-3279,2017,5,págs:,165 - 183, ,"NATALIA MARIA ACEVEDO PRINS, LUIS MIGUEL JIMENEZ GOMEZ, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,¿How Does the Use of ICTs Affect Family Relationships? A Quantitative Approach,Canadá,Global journal of health science,1916-9736,2017,9,10,92 - 108,10.5539/gjhs.v9n10p92 ,ELIANA MARIA VILLA ENCISO
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Percepciones estudiantiles acerca del uso de nuevas tecnologías en instituciones de Educación Superior en Medellín,Colombia,Revista Lasallista de Investigacion,1794-4449,2016,13,NA,151 - 162,10.22507/rli.v13n2a14 ,JONATHAN BERMUDEZ HERNANDEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Teaching Of Differential Calculus And Cost Through An Interactive Learning Object,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2016,15,N/A,652 - 659, ,"DIANA YANET GAVIRIA RODRIGUEZ, JUAN GUILLERMO ARANGO ARANGO, ALEJANDRO VALENCIA ARIAS, JOEL ENOC OLAYA ARIZA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Cobertura cambiaria por medio de instrumentos derivados para empresa exportadora de flores en Colombia.,Colombia,Revista En Contexto,2346-3279,2016,4,págs:,119 - 138, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, NELSON EDUARDO CASTANO GIRALDO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Percepciones estudiantiles acerca del uso de nuevas tecnologías en instituciones de Educación Superior en Medellín,Colombia,Revista Lasallista de Investigacion,1794-4449,2016,13,N/A,151 - 162,10.22507/rli.v13n2a14 ,"SALIM CHALELA NAFFAH, ALEJANDRO VALENCIA ARIAS, JONATHAN BERMUDEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Teaching Of Differential Calculus And Cost Through An Interactive Learning Object,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2016,15,N/A,652 - 659, ,"DIANA YANET GAVIRIA RODRIGUEZ, JUAN GUILLERMO ARANGO ARANGO, ALEJANDRO VALENCIA ARIAS, JOEL ENOC OLAYA ARIZA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Gestión de Tecnologías Emergentes: Estudio de Caso en un grupo de investigación universitario colombiano,Venezuela,Espacios,0798-1015,2016,37,31,14 - 15, ,"ELIANA MARIA VILLA ENCISO, CLAUDIA NELCY JIMENEZ HERNANDEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Contributions Of Differential Calculus In The Understanding Of Financial Formulas Through An Interactive Learning Object,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2016,15,N/A,543 - 550, ,"DIANA YANET GAVIRIA RODRIGUEZ, JUAN GUILLERMO ARANGO ARANGO, ALEJANDRO VALENCIA ARIAS, CARLOS ORTEGA ROJAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Contributions Of Differential Calculus In The Understanding Of Financial Formulas Through An interactive Learning Object,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2016,15,N/A,543 - 550, ,"JUAN GUILLERMO ARANGO ARANGO, DIANA YANET GAVIRIA RODRIGUEZ, ALEJANDRO VALENCIA ARIAS, CARLOS ORTEGA ROJAS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Intención emprendedora en estudiantes universitarios: un estudio bibliométrico,España,Intangible Capital,1697-9818,2016,12,N/A,881 - 922,10.3926/ic.730 ,"ALEJANDRO VALENCIA ARIAS, LUZ ALEXANDRA MONTOYA RESTREPO, IVAN ALONSO MONTOYA RESTREPO"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valoración de Seguros de Vida en presencia de Dependencia Espacial,Venezuela,Espacios,0798-1015,2016,37,28,3 - 3, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Medición de la competitividad para Brasil,,"Chile, Colombia y México  Venezuela, Espacios",0798-1015,2016,37,N/A,8 - 33, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valoración de opción real en proyectos de generación de energía eólica en Colombia,Venezuela,Espacios,0798-1015,2016,37,N/A,26 - 41, ,"LUIS MIGUEL JIMENEZ GOMEZ, NATALIA MARIA ACEVEDO PRINS, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Estrategia Mariposa mediante opciones europeas de compra y venta en escenarios Monte Carlo con volatilidad conducida por un modelo GARCH-M (1,,Espacios,0798-1015,2016,37,30,7 - 7, ,"GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Impacto del barrio vecino en los cánones de arrendamiento mediante precios hedónicos y econometría espacial,Venezuela,Espacios,0798-1015,2016,37,30,22 - 22, ,GABRIEL ALBERTO AGUDELO TORRES
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Estrategia Mariposa mediante opciones europeas de compra y venta en escenarios Monte Carlo con volatilidad conducida por un modelo GARCH-M (1,,Espacios,0798-1015,2016,37,30,7 - 7, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valoración de Seguros de Vida en presencia de Dependencia Espacial,Venezuela,Espacios,0798-1015,2016,37,28,3 - 3, ,"LUIS CEFERINO FRANCO ARBELAEZ, GABRIEL ALBERTO AGUDELO TORRES, LUIS EDUARDO FRANCO CEBALLOS"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Estrategia Mariposa mediante opciones europeas de compra y venta en escenarios Monte Carlo con volatilidad conducida por un modelo GARCH-M (1,,Espacios,0798-1015,2016,37,30,7 - 7, ,LUIS CEFERINO FRANCO ARBELAEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Impacto del barrio vecino en los cánones de arrendamiento mediante precios hedónicos y econometría espacial,Venezuela,Espacios,0798-1015,2016,37,30,23 - 23, ,LUIS CEFERINO FRANCO ARBELAEZ
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valoración de opción real en proyectos de generación de energía eólica en Colombia,Colombia,Espacios,0798-1015,2016,37,N/A,- , ,"NATALIA MARIA ACEVEDO PRINS, LUIS MIGUEL JIMENEZ GOMEZ, MIGUEL DAVID ROJAS LOPEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Impacto del barrio vecino en los cánones de arrendamiento mediante precios hedónicos y econometría espacial,Venezuela,Espacios,0798-1015,2016,37,30,23 - 23, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Valoración de Seguros de Vida en presencia de Dependencia Espacial,Venezuela,Espacios,0798-1015,2016,37,28,3 - 3, ,"LUIS EDUARDO FRANCO CEBALLOS, GABRIEL ALBERTO AGUDELO TORRES, LUIS CEFERINO FRANCO ARBELAEZ"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Efecto de Restricciones VaR sobre coberturas en mercados eléctricos,Colombia,Revista de Economia del Rosario,0123-5362,2016,19,2,201 - 220, ,JUAN FERNANDO RENDON GARCIA
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Policy Analysis for the diffusion of Natural Gas Vehicles: The Colombian Case,,IEEE Latin America Transactions,1548-0992,2016,14,9,1 - 7,10.1109/TLA.2016.7785937 ,"DIANA LORENA CADAVID HIGUITA, CARLOS JAIME FRANCO CARDONA"
CIENCIAS ADMINISTRATIVAS,Publicado en revista especializada,Perception of college students regarding the practice of coaching tools: case study,India,International Journal of Economic Research,0972-9380,2016,13,1,435 - 443, ,JONATHAN BERMUDEZ HERNANDEZ
